operation,block_id,excluded,exclusion_reason,c0_usec_per_op,c1_usec_per_op,c2_usec_per_op,c3_usec_per_op,delta_hook_usec,delta_map_usec,delta_enforcement_usec,delta_full_vs_map_usec
file,29,False,,3.0034,7.2117,5.30765,7.415000000000002,4.2083,-1.9040500000000007,4.411600000000002,2.107350000000002
file,30,False,,3.1017999999999994,5.36445,6.950250000000001,5.326300000000001,2.2626500000000003,1.5858000000000017,2.2245000000000013,-1.6239500000000007
network,1,False,,15.0532,26.0282,23.3398,23.2184,10.974999999999998,-2.688399999999998,8.165199999999999,-0.12140000000000128
network,2,False,,12.0214,26.9762,24.224400000000003,24.336999999999996,14.954799999999999,-2.751799999999996,12.315599999999996,0.11259999999999337
network,3,False,,12.729399999999998,22.684,25.499,24.264000000000003,9.954600000000003,2.8149999999999977,11.534600000000005,-1.2349999999999959
network,4,False,,13.291999999999996,22.7938,21.947000000000003,24.5638,9.501800000000005,-0.8467999999999982,11.271800000000004,2.616799999999998
network,5,False,,12.557400000000001,29.8506,23.154400000000003,23.1712,17.2932,-6.6961999999999975,10.613799999999998,0.016799999999996373
network,6,False,,14.5504,28.6914,23.1734,26.4198,14.141000000000002,-5.518000000000001,11.869399999999999,3.2463999999999977
network,7,False,,12.7974,24.736400000000003,25.001600000000003,23.1978,11.939000000000004,0.2652000000000001,10.400400000000001,-1.8038000000000025
network,8,False,,12.32,24.160800000000002,36.6446,27.369,11.840800000000002,12.483799999999995,15.049,-9.275599999999997
network,9,False,,12.4026,24.9446,24.1454,24.629,12.542000000000002,-0.7992000000000026,12.226400000000002,0.4836000000000027
network,10,False,,12.3222,22.1752,24.225999999999996,26.4104,9.853,2.0507999999999953,14.088199999999999,2.1844000000000037
network,11,False,,14.0322,25.3502,30.929399999999994,21.8302,11.318000000000001,5.579199999999993,7.798000000000002,-9.099199999999993
network,12,False,,11.8096,23.106800000000003,32.00659999999999,24.0142,11.297200000000004,8.899799999999988,12.2046,-7.992399999999993
network,13,False,,12.2828,24.831799999999998,29.8058,24.2034,12.548999999999998,4.974000000000004,11.920599999999999,-5.602400000000003
network,14,False,,13.314,24.1882,24.2764,26.988999999999994,10.874199999999998,0.0882000000000005,13.674999999999994,2.712599999999995
